striker,total_matches,total_runs_x,balls_faced,not_outs_as_striker,not_outs_as_non_striker,total_not_outs,total_runs_y,dismissed,average,strike_rate,centuries,half_centuries,thirties,0s,1s,2s,3s,4s,6s
A Ahmadhel,3.0,6.0,21.0,0.0,0.0,0.0,6.0,3.0,2.0,28.57,0.0,0.0,0.0,19.0,0.0,1.0,0.0,1.0,0.0
A Amado,2.0,19.0,28.0,0.0,0.0,0.0,19.0,2.0,9.5,67.86,0.0,0.0,0.0,16.0,9.0,1.0,0.0,2.0,0.0
A Andrews,1.0,4.0,6.0,0.0,1.0,1.0,4.0,0.0,0.0,66.67,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
A Ashish Reddy,23.0,280.0,196.0,4.0,4.0,8.0,280.0,15.0,18.67,142.86,0.0,0.0,2.0,61.0,83.0,20.0,1.0,16.0,15.0
A Ashok,12.0,34.0,39.0,3.0,4.0,7.0,34.0,5.0,6.8,87.18,0.0,0.0,0.0,18.0,14.0,4.0,0.0,3.0,0.0
A Ashokan,22.0,572.0,525.0,3.0,3.0,6.0,572.0,16.0,35.75,108.95,0.0,3.0,7.0,209.0,206.0,58.0,2.0,28.0,22.0
A Athanaze,8.0,165.0,162.0,1.0,0.0,1.0,165.0,7.0,23.57,101.85,0.0,1.0,1.0,73.0,61.0,9.0,0.0,14.0,5.0
A Ayre,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A Badoni,23.0,399.0,325.0,3.0,1.0,4.0,399.0,19.0,21.0,122.77,0.0,2.0,2.0,127.0,124.0,28.0,3.0,24.0,19.0
A Bagai,4.0,165.0,157.0,0.0,1.0,1.0,165.0,3.0,55.0,105.1,0.0,1.0,2.0,47.0,84.0,11.0,1.0,14.0,0.0
A Balbirnie,111.0,2423.0,1967.0,4.0,1.0,5.0,2423.0,106.0,22.86,123.18,0.0,12.0,24.0,780.0,730.0,132.0,7.0,250.0,68.0
A Bhadauria,2.0,40.0,32.0,0.0,0.0,0.0,40.0,2.0,20.0,125.0,0.0,0.0,0.0,13.0,11.0,1.0,1.0,6.0,0.0
A Bhagwat,3.0,2.0,9.0,0.0,0.0,0.0,2.0,3.0,0.67,22.22,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0
A Bhargava,2.0,7.0,7.0,0.0,1.0,1.0,7.0,1.0,7.0,100.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0
A Bhattarai,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,66.67,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
A Bishnoi,8.0,11.0,23.0,1.0,4.0,5.0,11.0,3.0,3.67,47.83,0.0,0.0,0.0,13.0,9.0,1.0,0.0,0.0,0.0
A Bohara,9.0,22.0,28.0,0.0,8.0,8.0,22.0,1.0,22.0,78.57,0.0,0.0,0.0,15.0,10.0,1.0,0.0,1.0,1.0
A Bramble,12.0,78.0,98.0,0.0,2.0,2.0,78.0,10.0,7.8,79.59,0.0,0.0,0.0,54.0,28.0,8.0,0.0,7.0,1.0
A Bulow,1.0,11.0,13.0,0.0,0.0,0.0,11.0,1.0,11.0,84.62,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,1.0
A Bushell,1.0,5.0,8.0,0.0,0.0,0.0,5.0,1.0,5.0,62.5,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0
A Carter,2.0,5.0,5.0,1.0,0.0,1.0,5.0,1.0,5.0,100.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
A Chandila,2.0,4.0,7.0,0.0,1.0,1.0,4.0,1.0,4.0,57.14,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0
A Chaudhary,3.0,42.0,42.0,0.0,0.0,0.0,42.0,3.0,14.0,100.0,0.0,0.0,1.0,18.0,16.0,3.0,0.0,5.0,0.0
A Chopra,6.0,53.0,75.0,0.0,0.0,0.0,53.0,6.0,8.83,70.67,0.0,0.0,0.0,45.0,21.0,2.0,0.0,7.0,0.0
