bowler,matches,balls,runs_conceded,wickets,economy,average,strike_rate
A Ahmadhel,2,12,21,1,10.5,21.0,12.0
A Amado,2,18,20,1,6.67,20.0,18.0
A Andrews,3,62,64,5,6.19,12.8,12.4
A Ashish Reddy,20,270,400,19,8.89,21.05263157894737,14.210526315789474
A Ashok,20,419,485,25,6.95,19.4,16.76
A Ashokan,18,363,441,18,7.29,24.5,20.166666666666668
A Badoni,3,13,12,2,5.54,6.0,6.5
A Bhargava,1,13,15,1,6.92,15.0,13.0
A Bhattarai,1,19,13,2,4.11,6.5,9.5
A Bishnoi,12,235,318,12,8.12,26.5,19.583333333333332
A Bohara,45,957,1133,65,7.1,17.43076923076923,14.723076923076922
A Carter,16,355,485,22,8.2,22.045454545454547,16.136363636363637
A Chandila,12,234,245,11,6.28,22.272727272727273,21.272727272727273
A Chaudhary,3,31,50,0,9.68,,
A Choudhary,5,108,144,5,8.0,28.8,21.6
A Conteh,5,116,114,8,5.9,14.25,14.5
A Dananjaya,42,900,1202,37,8.01,32.486486486486484,24.324324324324323
A Daxini,2,11,24,0,13.09,,
A Denuwan,3,40,51,1,7.65,51.0,40.0
A Dhingra,14,255,343,17,8.07,20.176470588235293,15.0
A Dizija,4,67,129,3,11.55,43.0,22.333333333333332
A Djorovic,6,81,149,1,11.04,149.0,81.0
A Dutt,5,72,96,4,8.0,24.0,18.0
A Flintoff,19,356,494,17,8.33,29.058823529411764,20.941176470588236
A Gbla,10,153,164,17,6.43,9.647058823529411,9.0
A Gqamane,49,642,886,33,8.28,26.848484848484848,19.454545454545453
A Hepburn,5,76,109,6,8.61,18.166666666666668,12.666666666666666
A Husain,7,119,119,7,6.0,17.0,17.0
A Javid,40,544,656,20,7.24,32.8,27.2
A Kapil,2,18,25,1,8.33,25.0,18.0
A Karn,1,24,31,1,7.75,31.0,24.0
A Karvelas,7,124,190,10,9.19,19.0,12.4
A Khan,9,144,150,7,6.25,21.428571428571427,20.571428571428573
A Kheterpal,16,358,424,12,7.11,35.333333333333336,29.833333333333332
A Kirschbaum,12,244,279,8,6.86,34.875,30.5
A Krishna,14,263,384,18,8.76,21.333333333333332,14.61111111111111
A Kumble,42,983,1089,49,6.65,22.224489795918366,20.06122448979592
A Limdawala,2,19,35,1,11.05,35.0,19.0
A Lyth,36,454,596,23,7.88,25.91304347826087,19.73913043478261
A Magdalenic,2,22,43,0,11.73,,
A Maheshwari,2,33,50,1,9.09,50.0,33.0
A Manousis,3,44,51,2,6.95,25.5,22.0
A Mansale,7,92,114,6,7.43,19.0,15.333333333333334
A Martel,5,113,114,10,6.05,11.4,11.3
A Martin,2,42,47,1,6.71,47.0,42.0
